,high-extension,high-overshoot,medium-extension,medium-overshoot,low,verylow,verylow-overshoot
1768,-0.11891730266078981,-0.11891730266078981,-0.11891730266078981,-0.11891730266078981,-0.11891730266078981,-0.11891730266078981,-0.11891730266078981
1769,-0.12454077473481943,-0.12454077473481943,-0.12454077473481943,-0.12454077473481943,-0.12454077473481943,-0.12454077473481943,-0.12454077473481943
1770,-0.09928756529670474,-0.09928756529670474,-0.09928756529670474,-0.09928756529670474,-0.09928756529670474,-0.09928756529670474,-0.09928756529670474
1771,-0.08447849183078968,-0.08447849183078968,-0.08447849183078968,-0.08447849183078968,-0.08447849183078968,-0.08447849183078968,-0.08447849183078968
1772,-0.0660653965240124,-0.0660653965240124,-0.0660653965240124,-0.0660653965240124,-0.0660653965240124,-0.0660653965240124,-0.0660653965240124
1773,-0.057863047438442075,-0.057863047438442075,-0.057863047438442075,-0.057863047438442075,-0.057863047438442075,-0.057863047438442075,-0.057863047438442075
1774,-0.04635159405308517,-0.04635159405308517,-0.04635159405308517,-0.04635159405308517,-0.04635159405308517,-0.04635159405308517,-0.04635159405308517
1775,-0.043572052264251204,-0.043572052264251204,-0.043572052264251204,-0.043572052264251204,-0.043572052264251204,-0.043572052264251204,-0.043572052264251204
1776,-0.03929720105595185,-0.03929720105595185,-0.03929720105595185,-0.03929720105595185,-0.03929720105595185,-0.03929720105595185,-0.03929720105595185
1777,-0.04405685101540436,-0.04405685101540436,-0.04405685101540436,-0.04405685101540436,-0.04405685101540436,-0.04405685101540436,-0.04405685101540436
1778,-0.035064369776301764,-0.035064369776301764,-0.035064369776301764,-0.035064369776301764,-0.035064369776301764,-0.035064369776301764,-0.035064369776301764
1779,-0.03439881989020718,-0.03439881989020718,-0.03439881989020718,-0.03439881989020718,-0.03439881989020718,-0.03439881989020718,-0.03439881989020718
1780,-0.0423715290262256,-0.0423715290262256,-0.0423715290262256,-0.0423715290262256,-0.0423715290262256,-0.0423715290262256,-0.0423715290262256
1781,-0.03994744819287571,-0.03994744819287571,-0.03994744819287571,-0.03994744819287571,-0.03994744819287571,-0.03994744819287571,-0.03994744819287571
1782,-0.03870121644034404,-0.03870121644034404,-0.03870121644034404,-0.03870121644034404,-0.03870121644034404,-0.03870121644034404,-0.03870121644034404
1783,-0.04268897968416709,-0.04268897968416709,-0.04268897968416709,-0.04268897968416709,-0.04268897968416709,-0.04268897968416709,-0.04268897968416709
1784,-0.21911278219455618,-0.21911278219455618,-0.21911278219455618,-0.21911278219455618,-0.21911278219455618,-0.21911278219455618,-0.21911278219455618
1785,-0.2722950246432396,-0.2722950246432396,-0.2722950246432396,-0.2722950246432396,-0.2722950246432396,-0.2722950246432396,-0.2722950246432396
1786,-0.21453161502436985,-0.21453161502436985,-0.21453161502436985,-0.21453161502436985,-0.21453161502436985,-0.21453161502436985,-0.21453161502436985
1787,-0.15497444031797214,-0.15497444031797214,-0.15497444031797214,-0.15497444031797214,-0.15497444031797214,-0.15497444031797214,-0.15497444031797214
1788,-0.11987909802152416,-0.11987909802152416,-0.11987909802152416,-0.11987909802152416,-0.11987909802152416,-0.11987909802152416,-0.11987909802152416
1789,-0.09322030309962048,-0.09322030309962048,-0.09322030309962048,-0.09322030309962048,-0.09322030309962048,-0.09322030309962048,-0.09322030309962048
1790,-0.0766019424622572,-0.0766019424622572,-0.0766019424622572,-0.0766019424622572,-0.0766019424622572,-0.0766019424622572,-0.0766019424622572
1791,-0.06017673193077029,-0.06017673193077029,-0.06017673193077029,-0.06017673193077029,-0.06017673193077029,-0.06017673193077029,-0.06017673193077029
1792,-0.058165685539842485,-0.058165685539842485,-0.058165685539842485,-0.058165685539842485,-0.058165685539842485,-0.058165685539842485,-0.058165685539842485
1793,-0.04966123781139752,-0.04966123781139752,-0.04966123781139752,-0.04966123781139752,-0.04966123781139752,-0.04966123781139752,-0.04966123781139752
1794,-0.04584980142452759,-0.04584980142452759,-0.04584980142452759,-0.04584980142452759,-0.04584980142452759,-0.04584980142452759,-0.04584980142452759
1795,-0.041902845797092254,-0.041902845797092254,-0.041902845797092254,-0.041902845797092254,-0.041902845797092254,-0.041902845797092254,-0.041902845797092254
1796,-0.059125928210481946,-0.059125928210481946,-0.059125928210481946,-0.059125928210481946,-0.059125928210481946,-0.059125928210481946,-0.059125928210481946
1797,-0.05934746261460151,-0.05934746261460151,-0.05934746261460151,-0.05934746261460151,-0.05934746261460151,-0.05934746261460151,-0.05934746261460151
1798,-0.05948426418353038,-0.05948426418353038,-0.05948426418353038,-0.05948426418353038,-0.05948426418353038,-0.05948426418353038,-0.05948426418353038
1799,-0.0470903162725877,-0.0470903162725877,-0.0470903162725877,-0.0470903162725877,-0.0470903162725877,-0.0470903162725877,-0.0470903162725877
1800,-0.04093610223474469,-0.04093610223474469,-0.04093610223474469,-0.04093610223474469,-0.04093610223474469,-0.04093610223474469,-0.04093610223474469
1801,-0.041439854487229894,-0.041439854487229894,-0.041439854487229894,-0.041439854487229894,-0.041439854487229894,-0.041439854487229894,-0.041439854487229894
1802,-0.0369383754505543,-0.0369383754505543,-0.0369383754505543,-0.0369383754505543,-0.0369383754505543,-0.0369383754505543,-0.0369383754505543
1803,-0.033978494554323134,-0.033978494554323134,-0.033978494554323134,-0.033978494554323134,-0.033978494554323134,-0.033978494554323134,-0.033978494554323134
1804,-0.02880434502741105,-0.02880434502741105,-0.02880434502741105,-0.02880434502741105,-0.02880434502741105,-0.02880434502741105,-0.02880434502741105
1805,-0.03057915693110837,-0.03057915693110837,-0.03057915693110837,-0.03057915693110837,-0.03057915693110837,-0.03057915693110837,-0.03057915693110837
1806,-0.036929741361659774,-0.036929741361659774,-0.036929741361659774,-0.036929741361659774,-0.036929741361659774,-0.036929741361659774,-0.036929741361659774
1807,-0.0324050502112566,-0.0324050502112566,-0.0324050502112566,-0.0324050502112566,-0.0324050502112566,-0.0324050502112566,-0.0324050502112566
1808,-0.029411951650151896,-0.029411951650151896,-0.029411951650151896,-0.029411951650151896,-0.029411951650151896,-0.029411951650151896,-0.029411951650151896
1809,-0.027706634691261257,-0.027706634691261257,-0.027706634691261257,-0.027706634691261257,-0.027706634691261257,-0.027706634691261257,-0.027706634691261257
1810,-0.3162298893392068,-0.3162298893392068,-0.3162298893392068,-0.3162298893392068,-0.3162298893392068,-0.3162298893392068,-0.3162298893392068
1811,-0.3966166949885204,-0.3966166949885204,-0.3966166949885204,-0.3966166949885204,-0.3966166949885204,-0.3966166949885204,-0.3966166949885204
1812,-0.3082080728682539,-0.3082080728682539,-0.3082080728682539,-0.3082080728682539,-0.3082080728682539,-0.3082080728682539,-0.3082080728682539
1813,-0.22053641496302334,-0.22053641496302334,-0.22053641496302334,-0.22053641496302334,-0.22053641496302334,-0.22053641496302334,-0.22053641496302334
1814,-0.16163706787337404,-0.16163706787337404,-0.16163706787337404,-0.16163706787337404,-0.16163706787337404,-0.16163706787337404,-0.16163706787337404
1815,-0.11745274979652232,-0.11745274979652232,-0.11745274979652232,-0.11745274979652232,-0.11745274979652232,-0.11745274979652232,-0.11745274979652232
1816,-0.6486234781760023,-0.6486234781760023,-0.6486234781760023,-0.6486234781760023,-0.6486234781760023,-0.6486234781760023,-0.6486234781760023
1817,-0.8234699125956679,-0.8234699125956679,-0.8234699125956679,-0.8234699125956679,-0.8234699125956679,-0.8234699125956679,-0.8234699125956679
1818,-0.6623081853353998,-0.6623081853353998,-0.6623081853353998,-0.6623081853353998,-0.6623081853353998,-0.6623081853353998,-0.6623081853353998
1819,-0.4766012102738373,-0.4766012102738373,-0.4766012102738373,-0.4766012102738373,-0.4766012102738373,-0.4766012102738373,-0.4766012102738373
1820,-0.34160588386366275,-0.34160588386366275,-0.34160588386366275,-0.34160588386366275,-0.34160588386366275,-0.34160588386366275,-0.34160588386366275
1821,-0.26213909137845864,-0.26213909137845864,-0.26213909137845864,-0.26213909137845864,-0.26213909137845864,-0.26213909137845864,-0.26213909137845864
