,high-extension,high-overshoot,medium-extension,medium-overshoot,low,verylow,verylow-overshoot
1750,-0.05771422716889144,-0.05771422716889144,-0.05771422716889144,-0.05771422716889144,-0.05771422716889144,-0.05771422716889144,-0.05771422716889144
1751,-0.027811961954350654,-0.027811961954350654,-0.027811961954350654,-0.027811961954350654,-0.027811961954350654,-0.027811961954350654,-0.027811961954350654
1752,-0.013109838794051074,-0.013109838794051074,-0.013109838794051074,-0.013109838794051074,-0.013109838794051074,-0.013109838794051074,-0.013109838794051074
1753,-0.008639321750747705,-0.008639321750747705,-0.008639321750747705,-0.008639321750747705,-0.008639321750747705,-0.008639321750747705,-0.008639321750747705
1754,0.004198377386923385,0.004198377386923385,0.004198377386923385,0.004198377386923385,0.004198377386923385,0.004198377386923385,0.004198377386923385
1755,-0.022260598715980906,-0.022260598715980906,-0.022260598715980906,-0.022260598715980906,-0.022260598715980906,-0.022260598715980906,-0.022260598715980906
1756,-0.03461650324418956,-0.03461650324418956,-0.03461650324418956,-0.03461650324418956,-0.03461650324418956,-0.03461650324418956,-0.03461650324418956
1757,-0.01723645742414277,-0.01723645742414277,-0.01723645742414277,-0.01723645742414277,-0.01723645742414277,-0.01723645742414277,-0.01723645742414277
1758,-0.009545532687806266,-0.009545532687806266,-0.009545532687806266,-0.009545532687806266,-0.009545532687806266,-0.009545532687806266,-0.009545532687806266
1759,-0.009373905334109464,-0.009373905334109464,-0.009373905334109464,-0.009373905334109464,-0.009373905334109464,-0.009373905334109464,-0.009373905334109464
1760,0.003791983004574645,0.003791983004574645,0.003791983004574645,0.003791983004574645,0.003791983004574645,0.003791983004574645,0.003791983004574645
1761,-0.004597240980680442,-0.004597240980680442,-0.004597240980680442,-0.004597240980680442,-0.004597240980680442,-0.004597240980680442,-0.004597240980680442
1762,0.0005507970977784542,0.0005507970977784542,0.0005507970977784542,0.0005507970977784542,0.0005507970977784542,0.0005507970977784542,0.0005507970977784542
1763,-0.08296891276265435,-0.08296891276265435,-0.08296891276265435,-0.08296891276265435,-0.08296891276265435,-0.08296891276265435,-0.08296891276265435
1764,-0.10488353429853828,-0.10488353429853828,-0.10488353429853828,-0.10488353429853828,-0.10488353429853828,-0.10488353429853828,-0.10488353429853828
1765,-0.0784005635222647,-0.0784005635222647,-0.0784005635222647,-0.0784005635222647,-0.0784005635222647,-0.0784005635222647,-0.0784005635222647
1766,-0.06432299581046821,-0.06432299581046821,-0.06432299581046821,-0.06432299581046821,-0.06432299581046821,-0.06432299581046821,-0.06432299581046821
1767,-0.033821450938349845,-0.033821450938349845,-0.033821450938349845,-0.033821450938349845,-0.033821450938349845,-0.033821450938349845,-0.033821450938349845
1768,-0.06723947759583554,-0.06723947759583554,-0.06723947759583554,-0.06723947759583554,-0.06723947759583554,-0.06723947759583554,-0.06723947759583554
1769,-0.07281516007388317,-0.07281516007388317,-0.07281516007388317,-0.07281516007388317,-0.07281516007388317,-0.07281516007388317,-0.07281516007388317
1770,-0.057511612366385224,-0.057511612366385224,-0.057511612366385224,-0.057511612366385224,-0.057511612366385224,-0.057511612366385224,-0.057511612366385224
1771,-0.04258197589735641,-0.04258197589735641,-0.04258197589735641,-0.04258197589735641,-0.04258197589735641,-0.04258197589735641,-0.04258197589735641
1772,-0.0183526622568601,-0.0183526622568601,-0.0183526622568601,-0.0183526622568601,-0.0183526622568601,-0.0183526622568601,-0.0183526622568601
1773,-0.004450108023504221,-0.004450108023504221,-0.004450108023504221,-0.004450108023504221,-0.004450108023504221,-0.004450108023504221,-0.004450108023504221
1774,-0.00409930941685549,-0.00409930941685549,-0.00409930941685549,-0.00409930941685549,-0.00409930941685549,-0.00409930941685549,-0.00409930941685549
1775,-0.0009269864929323524,-0.0009269864929323524,-0.0009269864929323524,-0.0009269864929323524,-0.0009269864929323524,-0.0009269864929323524,-0.0009269864929323524
1776,0.0022262313872700654,0.0022262313872700654,0.0022262313872700654,0.0022262313872700654,0.0022262313872700654,0.0022262313872700654,0.0022262313872700654
